1f600,GRINNING FACE
1f601,GRINNING FACE WITH SMILING EYES
1f602,FACE WITH TEARS OF JOY
1f603,SMILING FACE WITH OPEN MOUTH
1f604,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
1f605,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
1f606,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
1f609,WINKING FACE
1f60a,SMILING FACE WITH SMILING EYES
1f60b,FACE SAVOURING DELICIOUS FOOD
1f60e,SMILING FACE WITH SUNGLASSES
1f60d,SMILING FACE WITH HEART-SHAPED EYES
1f618,FACE THROWING A KISS
1f617,KISSING FACE
1f619,KISSING FACE WITH SMILING EYES
1f61a,KISSING FACE WITH CLOSED EYES
263a,WHITE SMILING FACE<br>≊ smiling face
1f642,SLIGHTLY SMILING FACE
1f917,HUGGING FACE
1f914,THINKING FACE
1f610,NEUTRAL FACE
1f611,EXPRESSIONLESS FACE
1f636,FACE WITHOUT MOUTH
1f644,FACE WITH ROLLING EYES
1f60f,SMIRKING FACE
1f623,PERSEVERING FACE
1f625,DISAPPOINTED BUT RELIEVED FACE
1f62e,FACE WITH OPEN MOUTH
1f910,ZIPPER-MOUTH FACE
1f62f,HUSHED FACE
1f62a,SLEEPY FACE
1f62b,TIRED FACE
1f634,SLEEPING FACE
1f60c,RELIEVED FACE
1f913,NERD FACE
1f61b,FACE WITH STUCK-OUT TONGUE
1f61c,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
1f61d,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
1f612,UNAMUSED FACE
1f613,FACE WITH COLD SWEAT
1f614,PENSIVE FACE
1f615,CONFUSED FACE
1f643,UPSIDE-DOWN FACE
1f911,MONEY-MOUTH FACE
1f632,ASTONISHED FACE
2639,WHITE FROWNING FACE<br>≊ frowning face
1f641,SLIGHTLY FROWNING FACE
1f616,CONFOUNDED FACE
1f61e,DISAPPOINTED FACE
1f61f,WORRIED FACE
1f624,FACE WITH LOOK OF TRIUMPH<br>≊ face with steam from nose
1f622,CRYING FACE
1f62d,LOUDLY CRYING FACE
1f626,FROWNING FACE WITH OPEN MOUTH
1f627,ANGUISHED FACE
1f628,FEARFUL FACE
1f629,WEARY FACE
1f62c,GRIMACING FACE
